Date,Time,Motion
2019/07/29,15:39:02,Active
2019/07/29,15:39:03,Active
2019/07/29,15:39:04,Inactive
2019/07/29,15:39:05,Inactive
2019/07/29,15:39:06,Inactive
2019/07/29,15:39:07,Inactive
2019/07/29,15:39:08,Inactive
2019/07/29,15:39:09,Inactive
2019/07/29,15:39:10,Active
2019/07/29,15:39:11,Active
2019/07/29,15:39:12,Active
2019/07/29,15:39:13,Inactive
2019/07/29,15:39:14,Inactive
2019/07/29,15:39:15,Inactive
2019/07/29,15:39:16,Inactive
2019/07/29,15:39:17,Inactive
2019/07/29,15:39:18,Inactive
2019/07/29,15:39:19,Active
2019/07/29,15:39:20,Active
2019/07/29,15:39:21,Active
2019/07/29,15:39:22,Inactive
2019/07/29,15:39:23,Inactive
2019/07/29,15:39:24,Inactive
2019/07/29,15:39:25,Inactive
2019/07/29,15:39:26,Inactive
2019/07/29,15:39:27,Active
2019/07/29,15:39:28,Active
2019/07/29,15:39:29,Active
2019/07/29,15:39:30,Inactive
2019/07/29,15:39:31,Inactive
2019/07/29,15:39:32,Inactive
2019/07/29,15:39:33,Inactive
2019/07/29,15:39:34,Inactive
2019/07/29,15:39:35,Inactive
2019/07/29,15:39:36,Inactive
2019/07/29,15:39:37,Inactive
2019/07/29,15:39:38,Inactive
2019/07/29,15:39:39,Inactive
2019/07/29,15:39:40,Inactive
2019/07/29,15:39:41,Inactive
2019/07/29,15:39:42,Active
2019/07/29,15:39:43,Active
2019/07/29,15:39:44,Active
2019/07/29,15:39:45,Active
2019/07/29,15:39:46,Active
2019/07/29,15:39:47,Active
2019/07/29,15:39:48,Active
2019/07/29,15:39:49,Active
2019/07/29,15:39:50,Active
2019/07/29,15:39:51,Active
2019/07/29,15:39:52,Active
2019/07/29,15:39:53,Active
2019/07/29,15:39:54,Active
2019/07/29,15:39:55,Active
2019/07/29,15:39:56,Inactive
2019/07/29,15:39:57,Inactive
2019/07/29,15:39:58,Inactive
2019/07/29,15:39:59,Inactive
2019/07/29,15:40:00,Active
2019/07/29,15:40:01,Active
2019/07/29,15:40:02,Active
2019/07/29,15:40:03,Inactive
2019/07/29,15:40:04,Inactive
2019/07/29,15:40:05,Inactive
2019/07/29,15:40:06,Inactive
2019/07/29,15:40:07,Inactive
2019/07/29,15:40:08,Active
2019/07/29,15:40:09,Active
2019/07/29,15:40:10,Active
2019/07/29,15:40:11,Inactive
2019/07/29,15:40:12,Inactive
2019/07/29,15:40:13,Inactive
2019/07/29,15:40:14,Inactive
2019/07/29,15:40:15,Inactive
2019/07/29,15:40:16,Inactive
2019/07/29,15:40:17,Inactive
2019/07/29,15:40:18,Active
2019/07/29,15:40:19,Active
2019/07/29,15:40:20,Active
2019/07/29,15:40:21,Inactive
2019/07/29,15:40:22,Inactive
2019/07/29,15:40:23,Inactive
2019/07/29,15:40:24,Inactive
2019/07/29,15:40:25,Inactive
2019/07/29,15:40:26,Inactive
2019/07/29,15:40:27,Inactive
2019/07/29,15:40:28,Inactive
2019/07/29,15:40:29,Inactive
2019/07/29,15:40:30,Inactive
2019/07/29,15:40:31,Inactive
2019/07/29,15:40:32,Active
2019/07/29,15:40:33,Inactive
2019/07/29,15:40:34,Inactive
2019/07/29,15:40:35,Active
2019/07/29,15:40:36,Active
2019/07/29,15:40:37,Active
2019/07/29,15:40:38,Active
2019/07/29,15:40:39,Active
2019/07/29,15:40:40,Active
2019/07/29,15:40:41,Inactive
2019/07/29,15:40:42,Inactive
2019/07/29,15:40:43,Inactive
2019/07/29,15:40:44,Active
2019/07/29,15:40:45,Active
2019/07/29,15:40:46,Inactive
2019/07/29,15:40:47,Inactive
2019/07/29,15:40:48,Inactive
2019/07/29,15:40:49,Active
2019/07/29,15:40:50,Inactive
2019/07/29,15:40:51,Inactive
2019/07/29,15:40:52,Active
2019/07/29,15:40:53,Active
2019/07/29,15:40:54,Active
2019/07/29,15:40:55,Active
2019/07/29,15:40:56,Active
2019/07/29,15:40:57,Inactive
2019/07/29,15:40:58,Inactive
2019/07/29,15:40:59,Inactive
2019/07/29,15:41:00,Inactive
2019/07/29,15:41:01,Active
2019/07/29,15:41:02,Active
2019/07/29,15:41:03,Inactive
2019/07/29,15:41:04,Inactive
2019/07/29,15:41:05,Inactive
2019/07/29,15:41:06,Active
2019/07/29,15:41:07,Inactive
2019/07/29,15:41:08,Inactive
2019/07/29,15:41:09,Active
2019/07/29,15:41:10,Active
2019/07/29,15:41:11,Active
2019/07/29,15:41:12,Inactive
2019/07/29,15:41:13,Inactive
2019/07/29,15:41:14,Inactive
2019/07/29,15:41:15,Inactive
2019/07/29,15:41:16,Inactive
2019/07/29,15:41:17,Inactive
2019/07/29,15:41:18,Active
2019/07/29,15:41:19,Active
2019/07/29,15:41:20,Inactive
2019/07/29,15:41:21,Inactive
2019/07/29,15:41:22,Inactive
2019/07/29,15:41:23,Active
2019/07/29,15:41:24,Inactive
2019/07/29,15:41:25,Inactive
2019/07/29,15:41:26,Active
2019/07/29,15:41:27,Active
2019/07/29,15:41:28,Active
2019/07/29,15:41:29,Inactive
2019/07/29,15:41:30,Inactive
2019/07/29,15:41:31,Inactive
2019/07/29,15:41:32,Inactive
2019/07/29,15:41:33,Inactive
2019/07/29,15:41:34,Inactive
2019/07/29,15:41:35,Active
2019/07/29,15:41:36,Active
2019/07/29,15:41:37,Inactive
2019/07/29,15:41:38,Inactive
2019/07/29,15:41:39,Inactive
2019/07/29,15:41:40,Active
2019/07/29,15:41:41,Inactive
2019/07/29,15:41:42,Inactive
2019/07/29,15:41:43,Active
2019/07/29,15:41:44,Active
2019/07/29,15:41:45,Active
2019/07/29,15:41:46,Inactive
2019/07/29,15:41:47,Inactive
2019/07/29,15:41:48,Inactive
2019/07/29,15:41:49,Inactive
2019/07/29,15:41:50,Inactive
2019/07/29,15:41:51,Inactive
2019/07/29,15:41:52,Active
2019/07/29,15:41:53,Active
2019/07/29,15:41:54,Inactive
2019/07/29,15:41:55,Inactive
2019/07/29,15:41:56,Inactive
2019/07/29,15:41:57,Active
2019/07/29,15:41:58,Inactive
2019/07/29,15:41:59,Inactive
2019/07/29,15:42:00,Active
2019/07/29,15:42:01,Active
2019/07/29,15:42:02,Active
2019/07/29,15:42:03,Inactive
2019/07/29,15:42:04,Inactive
2019/07/29,15:42:05,Inactive
2019/07/29,15:42:06,Inactive
2019/07/29,15:42:07,Inactive
2019/07/29,15:42:08,Inactive
2019/07/29,15:42:09,Active
2019/07/29,15:42:10,Active
2019/07/29,15:42:11,Inactive
2019/07/29,15:42:12,Inactive
2019/07/29,15:42:13,Inactive
2019/07/29,15:42:14,Active
2019/07/29,15:42:15,Inactive
2019/07/29,15:42:16,Inactive
2019/07/29,15:42:17,Active
2019/07/29,15:42:18,Active
2019/07/29,15:42:19,Active
2019/07/29,15:42:20,Inactive
2019/07/29,15:42:21,Inactive
2019/07/29,15:42:22,Inactive
2019/07/29,15:42:23,Inactive
2019/07/29,15:42:24,Inactive
2019/07/29,15:42:25,Inactive
2019/07/29,15:42:26,Inactive
2019/07/29,15:42:27,Inactive
2019/07/29,15:42:28,Inactive
2019/07/29,15:42:29,Inactive
2019/07/29,15:42:30,Inactive
2019/07/29,15:42:31,Inactive
2019/07/29,15:42:32,Inactive
2019/07/29,15:42:33,Inactive
2019/07/29,15:42:34,Inactive
2019/07/29,15:42:35,Inactive
2019/07/29,15:42:36,Inactive
2019/07/29,15:42:37,Inactive
2019/07/29,15:42:38,Inactive
2019/07/29,15:42:39,Inactive
2019/07/29,15:42:40,Inactive
2019/07/29,15:42:41,Inactive
2019/07/29,15:42:42,Inactive
2019/07/29,15:42:43,Inactive
2019/07/29,15:42:44,Inactive
2019/07/29,15:42:45,Inactive
2019/07/29,15:42:46,Inactive
2019/07/29,15:42:47,Inactive
2019/07/29,15:42:48,Active
2019/07/29,15:42:49,Active
2019/07/29,15:42:50,Active
2019/07/29,15:42:51,Active
2019/07/29,15:42:52,Active
2019/07/29,15:42:53,Active
